study_id,site_id,core_id,organic_matter_density,latitude,longitude
Carlin_et_al_2021,ELM1812,ELM1812-SPA2,0.10627989417335311,37.615667,-122.113967
Drexler_et_al_2009,Bacon Channel Island,BACHI,0.07401466666666666,38.010006,-121.5569
Drexler_et_al_2009,Franks Wetland,FW,0.09601327220228571,38.060906,-121.609758
Drexler_et_al_2009,Time of Mandeval Tip,TT,0.09939257142857143,38.064606,-121.537556
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,0.0458952,32.567032,-117.130867
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,0.05694686,32.566902,-117.130284
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,0.055355249999999995,32.566728,-117.129669
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,0.044384475,32.571838,-117.129704
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,0.05864782,32.572039,-117.130432
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,0.053890775,32.572335,-117.131078
