study_id,site_id,core_id,fraction_organic_matter,percent_organic_matter,latitude,longitude,admin_division
Baustian_et_al_2021,Terrebonne basin,331,0.7699333333333334,76.99333333333334,29.582422554,-90.544965384,Louisiana
Baustian_et_al_2021,Terrebonne basin,337,0.1861,18.61,29.310924599,-90.354254056,Louisiana
Baustian_et_al_2021,Terrebonne basin,367,0.80985,80.985,29.629128417,-90.571035381,Louisiana
Baustian_et_al_2021,Terrebonne basin,377,0.13236666666666666,13.236666666666666,29.231801672,-91.010076699,Louisiana
Baustian_et_al_2021,Terrebonne basin,398,0.27949999999999997,27.949999999999996,29.388554091,-90.917009367,Louisiana
Baustian_et_al_2021,Terrebonne basin,399,0.37066666666666664,37.06666666666666,29.302319496,-91.105471945,Louisiana
Baustian_et_al_2021,Terrebonne basin,4045,0.3984,39.839999999999996,29.377728716,-91.010822388,Louisiana
Baustian_et_al_2021,Terrebonne basin,4455,0.14373333333333332,14.373333333333333,29.257987426,-90.946233452,Louisiana
Blue_Ventures_Unpublished,BV_Unpubl_MHJ1,M1025,0.0546465,5.46465,-15.4759,47.11321,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ10,M1034,0.041084999999999997,4.108499999999999,-15.43797,47.22014,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ11,M1035,0.046495,4.6495,-15.44011,47.22237,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ12,M1036,0.050621,5.0621,-15.65416,46.99915,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ13,M1037,0.0605465,6.0546500000000005,-15.6526,47.01889,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ14,M1038,0.053646,5.3646,-15.65985,46.9825,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ15,M1039,0.04856099999999999,4.8561,-15.64055,47.0153,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ16,M1040,0.0523865,5.23865,-15.63733,47.01191,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ17,M1041,0.0388235,3.8823499999999997,-15.6515,47.0031,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ19,M1043,0.054108500000000004,5.41085,-15.46643,47.08777,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ2,M1026,0.0539855,5.39855,-15.47385,47.11095,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ20,M1044,0.0539735,5.39735,-15.47091,47.09248,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ21,M1045,0.0527615,5.27615,-15.46176,47.09236,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ22,M1046,0.068786,6.8786,-15.4573,47.09234,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ24,M1048,0.058522000000000005,5.852200000000001,-15.48493,47.03671,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ26,M1050,0.059059,5.9059,-15.48486,47.04603,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ27,M1051,0.0754615,7.54615,-15.58837,46.91308,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ28,M1052,0.1060235,10.602350000000001,-15.58394,46.9174,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ29,M1053,0.138052,13.805200000000001,-15.58611,46.93982,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ3,M1027,0.041434,4.1434,-15.47812,47.10877,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ30,M1054,0.0483065,4.83065,-15.52796,47.02455,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ31,M1055,0.0381855,3.8185499999999997,-15.51429,47.02285,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ32,M1056,0.038822499999999996,3.8822499999999995,-15.51984,47.02168,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ33,M1057,0.0465865,4.658650000000001,-15.52792,47.03859,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ34,M1058,0.04303599999999999,4.303599999999999,-15.5468,47.04011,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ35,M1059,0.038198499999999996,3.8198499999999997,-15.53994,47.04843,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ37,M1061,0.037122,3.7122,-15.52123,47.0161,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ38,M1062,0.04790899999999999,4.7909,-15.53327,47.0358,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ39,M1063,0.043334,4.3334,-15.54271,47.03867,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ4,M1028,0.04936199999999999,4.936199999999999,-15.47816,47.10429,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ40,M1064,0.030499,3.0499,-15.54203,46.99533,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ42,M1066,0.053218499999999995,5.3218499999999995,-15.53659,46.99864,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ43,M1067,0.0433565,4.33565,-15.47285,47.20491,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ44,M1068,0.047170500000000004,4.71705,-15.47078,47.19588,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ45,M1069,0.056178000000000006,5.617800000000001,-15.46853,47.20257,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ46,M1070,0.1136725,11.36725,-15.54468,46.9439,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ47,M1071,0.11043649999999999,11.04365,-15.5447,46.94166,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ48,M1072,0.1003035,10.03035,-15.59689,46.92649,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ5,M1029,0.033537,3.3537,-15.48466,47.10435,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ50,M1074,0.1326485,13.264850000000001,-15.60113,46.92216,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ6,M1030,0.044958,4.4958,-15.48044,47.09529,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ7,M1031,0.050145999999999996,5.0146,-15.46738,47.09747,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ8,M1032,0.042397,4.2397,-15.46512,47.10639,Mahajanga
Blue_Ventures_Unpublished,BV_Unpubl_MHJ9,M1033,0.0352355,3.52355,-15.46076,47.10859,Mahajanga
Boyd_2012,Blackbird_Creek_Marsh,BBRC1,0.20964173092679828,20.96417309267983,39.375811,-75.651786,Delaware
Boyd_2012,Blackbird_Creek_Marsh,BBRC2,0.2447714616304746,24.47714616304746,39.378697,-75.643872,Delaware
Boyd_2012,Broad_Dyke_Marsh,NCBD1,0.3578792411365513,35.78792411365513,39.666314,-75.567868,Delaware
Boyd_2012,Broad_Dyke_Marsh,NCBD2,0.2629622793560679,26.29622793560679,39.66571,-75.559982,Delaware
